Kind, Manufacturer, Pattern Name, Pattern Number, Item Number, Description
silver, W. M. Dalton, Bellwood (Stainless), n/a, 96985,  STAINLESS, LINES, SATIN, BLACK ACCENT
silver, W. M. Dalton, Bolero (Stainless), n/a, 121229,  STAINLESS, SRI, JAPAN, SATIN HANDLE
silver, W. M. Dalton, Bonita (Stainless), n/a, 96988,  STAINLESS, JAPAN, RIDGES, DOTS, SRI
silver, W. M. Dalton, Bordeaux (Stainless, Not Pierced), n/a, 135640,  STAINLESS, SRI, JAPAN, BLACK ACCENT
silver, W. M. Dalton, Bordeaux (Stainless, Pierced), n/a, 96989,  STAINLESS, JAPAN, ALL SATIN
silver, W. M. Dalton, Bouquet (Stainless), n/a, 96990,  STAINLESS, GLOSSY, ALL OVER FLORAL
silver, W. M. Dalton, Brentwood (Stainless), n/a, 96992,  STAINLESS, ROGERS, KOREA, BEADED OUTLINE
silver, W. M. Dalton, Briarcliff (Stainless), 358, 96993,  STAINLESS,ROGERS,CENTER RIDGE,FLAT TIP
silver, W. M. Dalton, Brocade Weave, n/a, 96995,  STAINLESS, KOREA, ROGERS, TEXTURED 
silver, W. M. Dalton, Brooke (Stainless), 310, 96994,  STAINLESS, ROGERS, LINES, SCALLOPED TIP
silver, W. M. Dalton, Brownstone, n/a, 97320,  STAINLESS, KOREA, SATIN, OUTLINE EDGE
silver, W. M. Dalton, Burguntine/Velvet (Stainless), n/a, 96996,  STAINLESS, JAPAN, FLORALS IN RECTANGLES
silver, W. M. Dalton, Camelot, n/a, 125093,  STAINLESS,SRI,JAPAN,SATIN, PLAIN
silver, W. M. Dalton, Cameo (Stainless), n/a, 96998,  STAINLESS, BEADED EDGE, SATIN
silver, W. M. Dalton, Cameo (Stainless), n/a, 96999,  STAINLESS, SRI,JAPAN, WOOD INSERT HNDL
silver, W. M. Dalton, Caneel Bay (Stainless), n/a, 96997,  STAINLESS, ROGERS, GLOSSY, PLAIN
silver, W. M. Dalton, Cantico, n/a, 97000,  STAINLESS, JAPAN, TEXTURED
silver, W. M. Dalton, Capri (Stainless), n/a, 394726,  STAINLESS,18/0,GLOSSY,BANDED TIP&AMP;HEEL
silver, W. M. Dalton, Carif (Stainless, Plain), 672, 97001,  STAINLESS,JAPAN,1/4&QUOT;THICK HANDLE,SATIN
silver, W. M. Dalton, Carif (Stainless, Ridges), 413, 170071,  STAINLESS,GLOSSY,RIDGES,ASYMMETRICAL TIP
silver, W. M. Dalton, Carlton, n/a, 120615,  STAINLESS, JAPAN, GLOSSY, LEAF DESIGN 
silver, W. M. Dalton, Carnival (Stainless), n/a, 97002,  STAINLESS, YELLOW HANDLE
silver, W. M. Dalton, Carole (Stainless), n/a, 97003,  STAINLESS, JAPAN, SATIN HANDLE
silver, W. M. Dalton, Casa Vista (Stainless), n/a, 97007,  STAINLESS,ROGERS, SATIN, BLACK ACCENT
silver, W. M. Dalton, Cascade (Stainless), 315, 97005,  STAINLESS, ROGERS, RIDGES, FLARED
silver, W. M. Dalton, Charisse, n/a, 97008,  STNLS, ROGERS, GLOSSY, KOREA
silver, W. M. Dalton, Charisse-Satin (Stainless), n/a, 201301,  STAINLESS, GEOMETRIC EDGE, BURNISHED
silver, W. M. Dalton, Charles Iv, n/a, 117715,  STAINLESS, JAPAN, SRB, GLOSSY, FLORAL
silver, W. M. Dalton, Cheer (Stainless), n/a, 97009,  STAINLESS, KOREA, BURNISHED HANDLE
silver, W. M. Dalton, Chelsea (Stainless), 394, 235114,  STAINLESS,18/8 EUROSIZE,PIERCED,FLOWERS
silver, W. M. Dalton, Cherish (Stainless), n/a, 97299,  STAINLESS,JAPAN,1/8&QUOT;THICK HANDLE,GLOSSY 
silver, W. M. Dalton, Cherry Hill (Stainless), n/a, 309499,  STAINLESS, KOREA,FAN TIP,OUTLINED EDGE
silver, W. M. Dalton, Chevron (Stainless), n/a, 235132,  STAINLESS,18/10,EUROSIZE,U-SHAPED LINES
silver, W. M. Dalton, Circles (Stainless), n/a, 234776,  FIESTA,STAINLESS,18/8,V LINES,ROUND TIP
silver, W. M. Dalton, Citadel (Stainless), n/a, 97016,  STNLS,ROGERS,KOREA,GLOSSY,OVAL HDL
silver, W. M. Dalton, City Lights (Stainless, Plastic), 380, 97010,  STAINLESS, CLEAR PLASTIC HANDLE
silver, W. M. Dalton, City Lights-Black (Stainless, Plastic), 385, 97017,  STAINLESS, BLACK PLASTIC HANDLE
silver, W. M. Dalton, City Lights-Cobalt (Stainless, Plastic), 387, 97012,  STAINLESS, COBALT PLASTIC HANDLE
silver, W. M. Dalton, City Lights-Dark Blue (Stainless,Plastc), 381, 97011,  STAINLESS, DARK BLUE PLASTIC HANDLE
silver, W. M. Dalton, City Lights-Dark Green (Stainlss,Plastc), 382, 97013,  STAINLESS, DARK GREEN PLASTIC HANDLE
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
